parent_sku,variant_sku,current_ex_vat,calculated_website_incl_vat,source_purchase_ex_vat,source_retail_incl_vat,proposed_ex_vat,vat_percent
9090-065-G,9090-065-G,1234.0,1492.95,1234,2987.0,2468.595,21
9090-065-G,9090-065-K,1234.0,1492.95,1234,2987.0,2468.595,21
9090-065-G,9090-065-P,1390.0,1681.95,1390,3364.0,2780.1653,21
9090-065-G,9090-065-D,1160.0,1403.95,1160,2808.0,2320.6612,21
9090-066-G,9090-066-G,1234.0,1492.95,1234,2987.0,2468.595,21
9090-066-G,9090-066-K,1234.0,1492.95,1234,2987.0,2468.595,21
9090-066-G,9090-066-P,1390.0,1681.95,1390,3364.0,2780.1653,21
9090-066-G,9090-066-D,1160.0,1403.95,1160,2808.0,2320.6612,21
9270-007-A,9270-007-A,1040.0,1257.95,1040,2517.0,2080.1653,21
9270-007-A,9270-008-A,1040.0,1257.95,1040,2517.0,2080.1653,21
9270-007-A,9270-002-A,578.0,698.95,578,1399.0,1156.1983,21
CLA-019-1011,CLA-019-1011,2540.0,3072.95,2540,6147.0,5080.1653,21
CLA-019-1011,CLA-019-1211,2732.0,3305.95,2732,6612.0,5464.4628,21
CLA-019-105,CLA-019-105,2342.0,2833.95,2342,5668.0,4684.2975,21
CLA-019-105,CLA-019-125,2600.0,3146,2600,6292.0,5200.0,21
CLA-020-101,CLA-020-101,3362.0,4067.95,3362,8137.0,6724.7934,21
CLA-020-101,CLA-020-121,3814.0,4614.95,3814,9230.0,7628.0992,21
CLA-021-102,CLA-021-102,1648.0,1993.95,1648,3988.0,3295.8678,21
CLA-021-102,CLA-025V-129,2340.0,2830.95,2340,5663.0,4680.1653,21
CLA-022-065,CLA-022-065,964.0,1165.95,964,2333.0,1928.0992,21
CLA-022-065,CLA-022-066,1048.0,1267.95,1048,2537.0,2096.6942,21
CLA-022-101,CLA-022-101,2082.0,2518.95,2082,5039.0,4164.4628,21
CLA-022-101,CLA-022-121,2242.0,2712.95,2242,5426.0,4484.2975,21
CLA-022-102,CLA-022-102,3544.0,4287.95,3544,8577.0,7088.4298,21
CLA-022-102,CLA-022-122,3876.0,4689.95,3876,9380.0,7752.0661,21
CLA-022-103,CLA-022-103,1662.0,2010.95,1662,4023.0,3324.7934,21
CLA-022-103,CLA-022-123,1782.0,2155.95,1782,4313.0,3564.4628,21
CLA-023-013,CLA-023-013,3036.0,3673.95,3036,7348.0,6072.7273,21
CLA-023-013,CLA-023-012,3036.0,3673.95,3036,7348.0,6072.7273,21
CLA-024-054,CLA-024-054,6278.0,7595.95,6278,15193.0,12556.1983,21
CLA-024-054,CLA-024-053,5678.0,6869.95,5678,13741.0,11356.1983,21
CLA-024-062,CLA-024-062,922.0,1115.95,922,2232.0,1844.6281,21
CLA-024-062,CLA-024-061,922.0,1115.95,922,2232.0,1844.6281,21
CLA-024-065,CLA-024-065,1168.0,1412.95,1168,2827.0,2336.3636,21
CLA-024-065,CLA-024-066,1394.0,1686.95,1394,3374.0,2788.4298,21
CLA-024-068,CLA-024-068,1662.0,2010.95,1662,4023.0,3324.7934,21
CLA-024-068,CLA-024-063,1842.0,2228.95,1842,4458.0,3684.2975,21
CLA-024-102,CLA-024-102,2756.0,3334.95,2756,6670.0,5512.3967,21
CLA-024-102,CLA-024-122,3000.0,3630,3000,7260.0,6000.0,21
CLA-024-103,CLA-024-103,3610.0,4367.95,3610,8737.0,7220.6612,21
CLA-024-103,CLA-024-123,3772.0,4563.95,3772,9129.0,7544.6281,21
CLA-024-105,CLA-024-105,3108.0,3760.95,3108,7522.0,6216.5289,21
CLA-024-105,CLA-024-125,3390.0,4101.95,3390,8204.0,6780.1653,21
CLA-024-284,CLA-024-284,840.0,1015.95,840,2033.0,1680.1653,21
CLA-024-284,CLA-024-283,812.0,982.95,812,1966.0,1624.7934,21
CLA-024-291,CLA-024-291,964.0,1165.95,964,2333.0,1928.0992,21
CLA-024-291,CLA-024-292,964.0,1165.95,964,2333.0,1928.0992,21
CLA-024-4013,CLA-024-4013,2832.0,3426.95,2832,6854.0,5664.4628,21
CLA-024-4013,CLA-024-4014,2164.0,2617.95,2164,5237.0,4328.0992,21
CLA-024-4017,CLA-024-4017,866.0,1047.95,866,2096.0,1732.2314,21
CLA-024-4017,CLA-024-4018,770.0,931.95,770,1864.0,1540.4959,21
CLA-024-406,CLA-024-406,2746.0,3322.95,2746,6646.0,5492.562,21
CLA-024-406,CLA-024-4015,3326.0,4023.95,3326,8049.0,6652.0661,21
CLA-024-406,CLA-024-4016,2526.0,3055.95,2526,6113.0,5052.0661,21
CLA-024-409,CLA-024-409,1272.0,1538.95,1272,3079.0,2544.6281,21
CLA-024-409,CLA-024-407,2292.0,2772.95,2292,5547.0,4584.2975,21
CLA-024-409,CLA-024-408,2350.0,2843.95,2350,5687.0,4700.0,21
CLA-024-414,CLA-024-414,838.0,1013.95,838,2028.0,1676.0331,21
CLA-024-414,CLA-024-415,838.0,1013.95,838,2028.0,1676.0331,21
CLA-024-421,CLA-024-421,742.0,897.95,742,1796.0,1484.2975,21
CLA-024-421,CLA-024-422,912.0,1103.95,912,2208.0,1824.7934,21
CLA-024-426,CLA-024-426,572.0,691.95,572,1385.0,1144.6281,21
CLA-024-426,CLA-024-427,572.0,691.95,572,1385.0,1144.6281,21
CLA-024-533,CLA-024-533,5082.0,6148.95,5082,12299.0,10164.4628,21
CLA-024-533,CLA-024-534,5846.0,7073.95,5846,14148.0,11692.562,21
CLA-025-101-B,CLA-025-101-B,2648.0,3203.95,2648,6409.0,5296.6942,21
